,symbol,instrument_token,date,open,high,low,close,volume
1826,IGL,2883073,2025-10-08,222.0,223.5,210.3,211.7,13221143
1827,IGL,2883073,2025-10-15,211.85,216.38,206.31,207.42,7962464
1828,IGL,2883073,2025-10-23,207.91,216.59,207.27,210.35,9826085
1829,IGL,2883073,2025-10-29,210.35,215.39,209.0,211.93,2662916
1830,UPL,2889473,2025-07-23,726.6,735.85,718.45,726.05,14911080
1831,UPL,2889473,2025-07-30,727.0,728.5,658.0,720.45,26623944
1832,UPL,2889473,2025-08-06,720.0,721.85,678.15,688.65,7368440
1833,UPL,2889473,2025-08-13,686.1,709.45,680.9,707.3,5480026
1834,UPL,2889473,2025-08-20,708.5,741.0,702.0,723.1,14770126
1835,UPL,2889473,2025-08-28,736.5,736.5,702.6,710.65,11197164
1836,UPL,2889473,2025-09-03,718.0,730.0,684.2,704.0,9829757
1837,UPL,2889473,2025-09-10,705.4,708.25,686.35,702.7,10309895
1838,UPL,2889473,2025-09-17,706.0,713.4,670.0,677.2,17781078
1839,UPL,2889473,2025-09-24,675.75,680.0,643.25,655.8,9914661
1840,UPL,2889473,2025-10-01,655.8,685.4,651.3,679.85,6665627
1841,UPL,2889473,2025-10-08,679.85,686.65,666.0,669.95,6176346
1842,UPL,2889473,2025-10-15,672.9,686.0,668.4,680.95,5306290
1843,UPL,2889473,2025-10-23,684.25,709.0,669.85,702.6,8063143
1844,UPL,2889473,2025-10-29,708.2,726.5,708.2,721.35,6979735
1845,PETRONET,2905857,2025-07-23,303.55,308.65,291.2,292.85,11022701
1846,PETRONET,2905857,2025-07-30,294.3,294.3,275.25,276.35,6658797
1847,PETRONET,2905857,2025-08-06,278.05,281.8,270.1,279.55,8230923
1848,PETRONET,2905857,2025-08-13,279.85,283.35,270.1,282.9,7391880
1849,PETRONET,2905857,2025-08-20,280.1,282.35,267.9,268.8,8774321
1850,PETRONET,2905857,2025-08-28,271.65,280.4,268.65,277.45,8414975
1851,PETRONET,2905857,2025-09-03,278.75,279.25,271.6,273.1,5064962
1852,PETRONET,2905857,2025-09-10,273.5,282.1,273.4,279.3,8457730
1853,PETRONET,2905857,2025-09-17,280.05,282.8,274.3,275.95,7951839
1854,PETRONET,2905857,2025-09-24,274.25,280.6,266.1,278.8,19339848
1855,PETRONET,2905857,2025-10-01,278.95,288.8,273.75,287.55,14438482
1856,PETRONET,2905857,2025-10-08,289.0,290.25,276.1,276.85,9305392
1857,PETRONET,2905857,2025-10-15,277.0,281.35,274.25,278.6,6425923
1858,PETRONET,2905857,2025-10-23,278.05,283.0,276.9,277.85,6417078
1859,PETRONET,2905857,2025-10-29,277.0,284.35,276.8,282.1,5446707
1860,BIOCON,2911489,2025-07-23,384.6,404.5,384.6,398.15,18227634
1861,BIOCON,2911489,2025-07-30,400.0,403.0,370.65,372.35,23738822
1862,BIOCON,2911489,2025-08-06,372.0,372.9,331.0,354.9,24260694
1863,BIOCON,2911489,2025-08-13,355.45,368.0,354.0,363.85,8072531
1864,BIOCON,2911489,2025-08-20,363.85,365.05,354.8,358.3,9428017
1865,BIOCON,2911489,2025-08-28,361.0,362.65,346.8,356.1,8967848
1866,BIOCON,2911489,2025-09-03,355.5,367.85,353.85,364.5,8403327
1867,BIOCON,2911489,2025-09-10,366.0,370.8,357.0,360.2,7853202
1868,BIOCON,2911489,2025-09-17,360.95,373.85,353.0,359.5,31370983
1869,BIOCON,2911489,2025-09-24,359.5,361.4,337.05,341.0,9691335
1870,BIOCON,2911489,2025-10-01,341.0,352.95,341.0,347.8,9009256
1871,BIOCON,2911489,2025-10-08,346.9,357.9,342.95,351.85,13344890
1872,BIOCON,2911489,2025-10-15,351.85,367.6,350.05,366.1,7939675
1873,BIOCON,2911489,2025-10-23,367.9,369.55,357.85,365.75,5372414
1874,BIOCON,2911489,2025-10-29,367.55,380.2,365.6,376.6,9641585
1875,LT,2939649,2025-07-23,3476.2,3504.3,3405.1,3495.6,7111816
1876,LT,2939649,2025-07-30,3622.0,3685.3,3577.0,3652.6,14085713
1877,LT,2939649,2025-08-06,3650.0,3727.9,3599.2,3686.1,7582753
1878,LT,2939649,2025-08-13,3696.0,3716.0,3608.2,3613.0,6299993
1879,LT,2939649,2025-08-20,3613.5,3648.0,3531.0,3541.3,6777308
1880,LT,2939649,2025-08-28,3540.0,3628.6,3537.2,3574.9,5698386
1881,LT,2939649,2025-09-03,3594.0,3624.9,3516.4,3525.0,6142756
1882,LT,2939649,2025-09-10,3559.0,3674.0,3533.0,3667.8,7566534
1883,LT,2939649,2025-09-17,3672.0,3705.0,3613.2,3657.6,7209690
1884,LT,2939649,2025-09-24,3657.6,3794.9,3635.7,3659.0,13890434
1885,LT,2939649,2025-10-01,3658.9,3767.0,3615.0,3729.7,7219603
1886,LT,2939649,2025-10-08,3730.0,3799.0,3715.0,3744.3,6937391
1887,LT,2939649,2025-10-15,3747.0,3895.0,3744.3,3888.2,7727124
1888,LT,2939649,2025-10-23,3890.0,3986.0,3890.0,3972.8,8411908
1889,LT,2939649,2025-10-29,3988.0,4062.6,3920.0,3987.5,7523041
1890,ULTRACEMCO,2952193,2025-07-23,12460.0,12515.0,12122.0,12221.0,1082631
1891,ULTRACEMCO,2952193,2025-07-30,12205.0,12381.0,12075.0,12298.0,1024040
1892,ULTRACEMCO,2952193,2025-08-06,12298.0,12530.0,12125.0,12449.0,1148592
1893,ULTRACEMCO,2952193,2025-08-13,12485.0,12904.0,12225.0,12863.0,1602832
1894,ULTRACEMCO,2952193,2025-08-20,12850.0,12930.0,12480.0,12610.0,1162874
1895,ULTRACEMCO,2952193,2025-08-28,12570.0,12852.0,12472.0,12730.0,889877
1896,ULTRACEMCO,2952193,2025-09-03,12700.0,13097.0,12530.0,12572.0,965518
1897,ULTRACEMCO,2952193,2025-09-10,12625.0,12626.0,12324.0,12578.0,829895
1898,ULTRACEMCO,2952193,2025-09-17,12678.0,12800.0,12361.0,12401.0,1929254
1899,ULTRACEMCO,2952193,2025-09-24,12427.0,12448.0,11962.0,12222.0,1114559
