,SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
101,ADANIENT,2025-11-25,2400.9,2407.7,2325.3,2329.4,2332.9,2223715,52584.03,69285, 712660, 32.05
102,ADANIENT,2025-11-26,2321.2,2357.0,2310.0,2313.9,2315.0,1026965,23979.09,47392, 333100, 32.44
103,ADANIENT,2025-11-27,2310.0,2320.5,2243.0,2249.0,2255.0,1474038,33653.32,61990, 701192, 47.57
104,ADANIENT,2025-11-28,2267.1,2331.0,2247.8,2282.0,2280.2,3037620,69742.39,86014, 662424, 21.81
105,ADANIENT,2025-12-01,2300.0,2304.0,2257.0,2259.9,2262.0,1313265,29904.8,42480, 536420, 40.85
106,ADANIENT,2025-12-02,2255.0,2267.2,2232.2,2239.0,2239.6,1035354,23239.55,46209, 470752, 45.47
107,ADANIENT,2025-12-03,2240.0,2245.0,2172.2,2191.6,2189.8,1643852,36233.24,63240, 673950, 41.00
108,ADANIENT,2025-12-04,2188.0,2231.7,2183.4,2216.8,2217.9,2522821,55821.65,67347, 1415418, 56.10
109,ADANIENT,2025-12-05,2217.9,2268.6,2202.9,2263.0,2265.4,2400781,53786.17,67680, 1347456, 56.13
110,ADANIGREEN,2025-11-06,1087.1,1097.9,1047.0,1062.0,1060.5,2533556,27002.97,59186, 690895, 27.27
111,ADANIGREEN,2025-11-07,1060.5,1075.1,1040.0,1059.0,1059.8,3615119,38183.88,59501, 1119593, 30.97
112,ADANIGREEN,2025-11-10,1066.9,1088.0,1035.2,1037.6,1041.3,2240298,23823.9,46860, 580817, 25.93
113,ADANIGREEN,2025-11-11,1049.0,1051.0,1031.4,1047.0,1044.2,1629631,16975.14,35807, 349384, 21.44
114,ADANIGREEN,2025-11-12,1050.2,1094.9,1050.2,1071.6,1070.8,4147036,44633.9,76068, 612155, 14.76
115,ADANIGREEN,2025-11-13,1080.0,1088.0,1063.3,1076.5,1076.8,1991752,21496.03,41315, 460318, 23.11
116,ADANIGREEN,2025-11-14,1082.9,1104.9,1060.0,1067.1,1068.8,3567619,38594.02,64150, 760502, 21.32
117,ADANIGREEN,2025-11-17,1074.8,1092.5,1065.4,1088.0,1088.6,2888868,31244.28,44977, 1294989, 44.83
118,ADANIGREEN,2025-11-18,1092.0,1097.2,1075.0,1077.2,1077.6,1414894,15346.49,28220, 381741, 26.98
119,ADANIGREEN,2025-11-19,1080.2,1084.5,1052.2,1069.9,1069.9,2155114,22996.34,42692, 497668, 23.09
120,ADANIGREEN,2025-11-20,1074.0,1085.5,1057.0,1065.0,1060.0,1354779,14510.5,31385, 357397, 26.38
121,ADANIGREEN,2025-11-21,1060.0,1063.1,1026.0,1031.0,1030.5,2075493,21641.25,45347, 782113, 37.68
122,ADANIGREEN,2025-11-24,1036.9,1037.5,1006.0,1011.4,1009.4,1618990,16471.33,40676, 496015, 30.64
123,ADANIGREEN,2025-11-25,1010.5,1022.9,1000.6,1012.0,1011.6,1677553,16944.08,35425, 481170, 28.68
124,ADANIGREEN,2025-11-26,1016.0,1036.4,1012.5,1034.0,1034.4,1318167,13561.25,27317, 403663, 30.62
125,ADANIGREEN,2025-11-27,1040.1,1042.0,1018.2,1033.0,1031.1,1543218,15866.63,29963, 413670, 26.81
126,ADANIGREEN,2025-11-28,1031.2,1052.5,1024.6,1047.6,1048.2,1626863,16964.33,32441, 431296, 26.51
127,ADANIGREEN,2025-12-01,1041.1,1052.0,1028.1,1042.3,1039.6,2276452,23692.74,118769, 365485, 16.06
128,ADANIGREEN,2025-12-02,1038.6,1040.7,1017.7,1024.2,1022.6,1544253,15853.88,106457, 375412, 24.31
129,ADANIGREEN,2025-12-03,1024.0,1027.3,1004.2,1018.0,1012.6,1508973,15311.05,76711, 474502, 31.45
130,ADANIGREEN,2025-12-04,1013.8,1027.1,1006.8,1012.1,1013.4,1349599,13710.59,41314, 406707, 30.14
131,ADANIGREEN,2025-12-05,1013.1,1022.5,1005.1,1018.1,1017.7,1190798,12063.28,59608, 257938, 21.66
132,ADANIPORTS,2025-11-06,1452.1,1466.3,1434.3,1435.7,1436.8,2745063,39821.69,89710, 1113958, 40.58
133,ADANIPORTS,2025-11-07,1435.0,1464.0,1425.0,1448.9,1448.3,2184538,31628.38,77253, 1092105, 49.99
134,ADANIPORTS,2025-11-10,1452.2,1463.9,1441.0,1444.0,1444.9,1161695,16830.26,56441, 618897, 53.28
135,ADANIPORTS,2025-11-11,1453.0,1476.0,1437.8,1474.1,1474.4,2258827,33004.68,74892, 1111054, 49.19
136,ADANIPORTS,2025-11-12,1477.0,1515.0,1475.5,1505.0,1506.9,4641466,69758.42,134212, 2074178, 44.69
137,ADANIPORTS,2025-11-13,1515.0,1515.0,1487.8,1496.7,1499.0,2304918,34632.56,69310, 951541, 41.28
138,ADANIPORTS,2025-11-14,1500.0,1523.6,1497.0,1514.6,1512.7,2345593,35471.59,69833, 808190, 34.46
139,ADANIPORTS,2025-11-17,1518.9,1519.0,1503.0,1509.8,1507.6,1750560,26398.63,65737, 1025076, 58.56
140,ADANIPORTS,2025-11-18,1518.9,1518.9,1490.2,1491.2,1495.0,1818617,27270.3,48670, 1016865, 55.91
141,ADANIPORTS,2025-11-19,1499.0,1499.5,1478.0,1484.0,1484.2,1746304,25940.15,71029, 1033913, 59.21
142,ADANIPORTS,2025-11-20,1500.0,1505.0,1487.6,1490.4,1491.1,1459401,21830.53,53609, 645895, 44.26
143,ADANIPORTS,2025-11-21,1492.0,1492.3,1467.1,1479.3,1479.8,1165365,17226.91,45943, 514625, 44.16
144,ADANIPORTS,2025-11-24,1482.0,1490.2,1471.3,1485.3,1485.9,2485518,36870.78,62297, 1716546, 69.06
145,ADANIPORTS,2025-11-25,1490.0,1492.4,1474.5,1480.5,1483.9,1355333,20088.08,61360, 594297, 43.85
146,ADANIPORTS,2025-11-26,1484.3,1523.0,1484.3,1508.1,1506.2,3986754,60275.08,76062, 1648040, 41.34
147,ADANIPORTS,2025-11-27,1511.8,1513.9,1501.0,1505.6,1509.1,861910,12989.36,51591, 345316, 40.06
148,ADANIPORTS,2025-11-28,1510.0,1534.3,1503.1,1516.5,1516.9,2612938,39773.46,79458, 1084384, 41.50
149,ADANIPORTS,2025-12-01,1530.0,1549.0,1523.0,1531.5,1530.5,4059126,62380.39,115935, 2174021, 53.56
150,ADANIPORTS,2025-12-02,1528.1,1530.0,1510.0,1519.0,1518.1,1974536,29969.62,59646, 1178111, 59.67
151,ADANIPORTS,2025-12-03,1514.0,1524.0,1488.6,1500.3,1497.7,1958074,29418.77,60469, 964242, 49.24
152,ADANIPORTS,2025-12-04,1497.7,1509.1,1490.2,1507.7,1505.6,1591805,23916.91,85391, 909448, 57.13
153,ADANIPORTS,2025-12-05,1504.6,1514.0,1493.3,1511.0,1509.4,1141428,17166.08,36597, 517521, 45.34
154,ALKEM,2025-11-06,5670.5,5704.0,5631.0,5631.5,5643.5,152300,8618.46,19636, 87832, 57.67
155,ALKEM,2025-11-07,5644.5,5687.5,5571.5,5670.0,5668.5,226721,12799.23,19069, 171358, 75.58
156,ALKEM,2025-11-10,5705.0,5738.0,5648.0,5660.0,5679.5,185968,10580.81,19776, 104603, 56.25
157,ALKEM,2025-11-11,5690.0,5725.0,5619.0,5700.0,5696.5,124473,7067.62,13367, 74777, 60.07
158,ALKEM,2025-11-12,5724.0,5825.0,5694.0,5770.0,5767.5,173486,10001.07,19891, 94199, 54.30
159,ALKEM,2025-11-13,5794.0,5868.0,5679.0,5703.0,5725.5,477859,27706.03,61366, 180912, 37.86
160,ALKEM,2025-11-14,5800.5,5808.5,5607.5,5720.0,5722.5,383633,21854.1,40611, 234030, 61.00
161,ALKEM,2025-11-17,5750.0,5750.0,5631.5,5725.0,5723.0,176721,10074.86,23517, 124478, 70.44
162,ALKEM,2025-11-18,5734.0,5739.5,5649.0,5713.0,5713.0,243124,13879.63,33099, 167423, 68.86
163,ALKEM,2025-11-19,5730.0,5747.5,5659.5,5743.0,5724.0,104658,5976.95,17267, 69888, 66.78
164,ALKEM,2025-11-20,5750.0,5750.0,5673.0,5686.0,5700.0,80099,4573.88,15380, 52283, 65.27
165,ALKEM,2025-11-21,5704.5,5732.0,5637.5,5709.0,5700.0,110129,6261.14,13257, 71599, 65.01
166,ALKEM,2025-11-24,5739.5,5739.5,5604.0,5606.0,5625.0,622381,35058.88,31125, 463868, 74.53
167,ALKEM,2025-11-25,5615.0,5708.0,5590.0,5699.0,5701.0,90149,5103.42,14061, 50456, 55.97
168,ALKEM,2025-11-26,5645.5,5782.5,5645.5,5777.0,5773.0,85479,4908.19,16359, 56803, 66.45
169,ALKEM,2025-11-27,5785.5,5794.5,5671.0,5680.0,5686.5,163929,9354.05,21541, 103122, 62.91
170,ALKEM,2025-11-28,5703.0,5748.5,5677.0,5677.5,5685.0,57067,3252.78,11156, 36404, 63.79
171,ALKEM,2025-12-01,5712.0,5712.0,5581.0,5590.0,5609.5,78861,4441.41,12435, 43899, 55.67
172,ALKEM,2025-12-02,5624.0,5654.0,5586.0,5625.0,5638.5,54507,3064.78,10169, 32096, 58.88
173,ALKEM,2025-12-03,5640.0,5687.0,5603.0,5648.0,5647.5,41633,2347.83,7835, 23509, 56.47
